country,Bronze,Gold,Silver,Total
USA,1592,3076,1956,6624
GER,881,844,832,2557
URS,704,1099,743,2546
GBR,846,852,836,2534
FRA,759,622,782,2163
ITA,611,628,600,1839
CAN,591,596,545,1732
SWE,557,529,586,1672
AUS,633,442,538,1613
CHN,385,495,486,1366
NED,528,416,417,1361
HUN,427,466,356,1249
NOR,357,448,409,1214
JPN,440,354,415,1209
RUS,400,374,347,1121
GDR,285,406,340,1031
FIN,490,223,277,990
KOR,236,277,293,806
SUI,297,190,270,757
ROU,304,175,213,692
ESP,203,160,310,673
DEN,210,190,270,670
POL,287,139,235,661
BRA,250,148,231,629
FRG,249,161,198,608
BEL,188,136,203,527
AUT,176,127,210,513
TCH,187,82,226,495
CUB,134,184,137,455
YUG,93,135,191,419
BUL,152,64,148,364
ARG,134,100,126,360
NZL,99,148,103,350
ROC,62,96,151,309
EUN,84,132,75,291
IND,87,165,30,282
UKR,125,54,64,243
JAM,50,51,93,194
CZE,85,56,43,184
GRE,63,41,78,182
CRO,42,66,73,181
RSA,67,35,55,157
MEX,88,36,30,154
BLR,70,29,52,151
SRB,72,46,31,149
PAK,34,53,54,141
KEN,41,44,48,133
NGR,52,29,39,120
TUR,43,41,30,114
IRI,32,27,29,88
KAZ,44,16,27,87
SVK,42,18,24,84
PRK,40,16,21,77
URU,30,44,2,76
TPE,28,11,34,73
SLO,31,18,22,71
LTU,54,6,10,70
SCG,26,13,27,66
ETH,23,24,15,62
AZE,31,9,16,56
EST,27,17,12,56
IRL,23,17,13,53
FIJ,13,26,14,53
INA,18,15,19,52
UZB,23,19,8,50
POR,29,7,14,50
LAT,22,11,15,48
GEO,19,13,15,47
ANZ,5,36,4,45
MAR,31,8,5,44
DOM,29,4,9,42
BAH,15,16,11,42
THA,19,11,11,41
CHI,25,4,10,39
EGY,19,9,11,39
COL,17,5,16,38
ISR,20,4,10,34
TTO,19,7,8,34
MGL,17,2,12,31
GHA,23,0,1,24
CMR,2,21,1,24
ZIM,1,18,4,23
PAR,0,0,22,22
ARM,9,2,11,22
MAS,10,0,12,22
NEP,0,21,0,21
ALG,9,7,4,20
VEN,9,3,7,19
TUN,8,6,4,18
PHI,10,3,5,18
ISL,2,0,15,17
HKG,8,4,4,16
PER,1,1,14,16
MNE,0,0,15,15
KGZ,8,0,5,13
BOT,5,1,7,13
UGA,3,5,5,13
PUR,8,2,2,12
MDA,7,0,4,11
ECU,2,4,5,11
BOH,9,0,1,10
QAT,6,2,2,10
SGP,5,1,4,10
LIE,6,2,2,10
BRN,1,4,3,8
WIF,7,0,0,7
LUX,0,3,4,7
TJK,5,1,1,7
KSA,5,0,2,7
HAI,5,0,1,6
AIN,1,1,4,6
VIE,1,1,3,5
IOA,3,1,1,5
GRN,3,1,1,5
KOS,1,3,1,5
NAM,0,0,5,5
CIV,3,1,1,5
PAN,2,1,1,4
CRC,2,1,1,4
LBN,2,0,2,4
SMR,2,0,2,4
JOR,1,1,2,4
SYR,2,1,1,4
ZAM,2,0,1,3
GUA,1,1,1,3
KUW,3,0,0,3
ALB,2,0,0,2
BER,1,1,0,2
UAE,1,1,0,2
UAR,1,0,1,2
BDI,0,1,1,2
TAN,0,0,2,2
AFG,2,0,0,2
LCA,0,1,1,2
SRI,0,0,2,2
CYP,0,0,2,2
MKD,1,0,1,2
MOZ,1,1,0,2
SUR,1,1,0,2
NIG,1,0,1,2
CPV,1,0,0,1
GUY,1,0,0,1
AHO,0,0,1,1
ISV,0,0,1,1
MON,1,0,0,1
MRI,1,0,0,1
IRQ,1,0,0,1
BAR,1,0,0,1
ERI,1,0,0,1
GAB,0,0,1,1
EOR,1,0,0,1
DMA,0,1,0,1
SEN,0,0,1,1
DJI,1,0,0,1
TOG,1,0,0,1
TKM,0,0,1,1
TGA,0,0,1,1
BUR,1,0,0,1
SUD,0,0,1,1
SAM,0,0,1,1
