country,Bronze,Gold,Silver,Total
CAN,176,384,248,808
USA,195,215,381,791
NOR,159,215,210,584
GER,120,202,202,524
FIN,273,93,152,518
SWE,193,157,152,502
URS,93,251,97,441
AUT,120,99,117,336
SUI,146,94,78,318
RUS,79,85,86,250
ITA,99,65,76,240
FRA,99,50,53,202
NED,62,63,52,177
GDR,54,58,50,162
TCH,79,2,81,162
ROC,35,55,71,161
KOR,16,65,59,140
CHN,45,32,49,126
JPN,54,27,41,122
GBR,42,63,16,121
CZE,43,32,14,89
FRG,45,15,22,82
EUN,15,36,10,61
AUS,10,27,7,44
POL,18,7,10,35
SVK,26,4,4,34
SLO,15,7,11,33
HUN,14,6,4,24
LAT,15,4,4,23
BLR,5,11,7,23
IND,0,21,0,21
NEP,0,21,0,21
BEL,8,3,5,16
UKR,5,6,2,13
CRO,1,4,6,11
LIE,6,2,2,10
KAZ,4,1,3,8
EST,2,4,2,8
YUG,1,0,6,7
NZL,2,2,2,6
BUL,3,1,2,6
ESP,3,1,1,5
DEN,0,0,5,5
ROU,2,0,0,2
PRK,1,0,1,2
LUX,0,0,2,2
UZB,0,1,0,1
